domainId,anotherDevAccountId,assetDefinitionId,anotherDevAssetId
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev2dff68db-32f2-4c75-baa5-f5097945dff5_9d19cf2c-3aae-4a01-bc33-36ee441fd096@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor48bb8276-346f-499c-a924-23239526844a_869a9065-dbc7-453c-929e-aed77ca1fe32#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor48bb8276-346f-499c-a924-23239526844a_869a9065-dbc7-453c-929e-aed77ca1fe32##anotherDev2dff68db-32f2-4c75-baa5-f5097945dff5_9d19cf2c-3aae-4a01-bc33-36ee441fd096@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDeva0b8ae5d-013f-4ff2-85bb-621a70ccc242_29bbc58c-1df0-452f-b8dc-36d230dc6b97@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xore82d0027-d3ee-4ec0-8c1a-0e82fee58e63_0921b3e1-4277-493c-adf1-c169a80d41ac#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xore82d0027-d3ee-4ec0-8c1a-0e82fee58e63_0921b3e1-4277-493c-adf1-c169a80d41ac##anotherDeva0b8ae5d-013f-4ff2-85bb-621a70ccc242_29bbc58c-1df0-452f-b8dc-36d230dc6b97@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev78612bbf-55c5-42d6-b3b4-a3dd85afc8a6_a39dc322-4439-4f02-9781-7e00111c135f@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor13d2c376-d31f-4738-a151-be1c536306ca_fc0e080c-867a-4650-9546-a3fce5c00602#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor13d2c376-d31f-4738-a151-be1c536306ca_fc0e080c-867a-4650-9546-a3fce5c00602##anotherDev78612bbf-55c5-42d6-b3b4-a3dd85afc8a6_a39dc322-4439-4f02-9781-7e00111c135f@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev6343fd0e-1697-4773-8410-eae3452b697a_f35e1fb1-b49c-4a6a-b36e-61acb5abf23d@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor59e04ebe-d645-4d92-a7b1-891c2e05af2c_dac684b9-6db4-4e22-984a-2c2a1405e226#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor59e04ebe-d645-4d92-a7b1-891c2e05af2c_dac684b9-6db4-4e22-984a-2c2a1405e226##anotherDev6343fd0e-1697-4773-8410-eae3452b697a_f35e1fb1-b49c-4a6a-b36e-61acb5abf23d@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev8235834f-1894-4c68-a7ca-31305c7f4416_11eb827e-d738-4cc2-be93-42ec29861e6f@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor8e3f89fa-103e-4b2e-9744-1cde7077b11d_65990c60-a888-4260-a0a3-b0cf5e3740bd#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor8e3f89fa-103e-4b2e-9744-1cde7077b11d_65990c60-a888-4260-a0a3-b0cf5e3740bd##anotherDev8235834f-1894-4c68-a7ca-31305c7f4416_11eb827e-d738-4cc2-be93-42ec29861e6f@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev7b5abe51-9aa4-46ab-bff7-6d9330d6ba57_0266a4e1-6f7f-4048-9555-070f91d52f7e@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor75dd5825-37d9-4c3d-aa16-0f2c4bef083b_0470ecc0-5655-44f0-aa5f-25dd31e4a82a#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor75dd5825-37d9-4c3d-aa16-0f2c4bef083b_0470ecc0-5655-44f0-aa5f-25dd31e4a82a##anotherDev7b5abe51-9aa4-46ab-bff7-6d9330d6ba57_0266a4e1-6f7f-4048-9555-070f91d52f7e@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDeva925171e-6b98-46ec-b744-19e75b06d37e_dea00990-722e-4527-bf97-16304057cf91@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor28094f61-ebe0-4d72-9a68-8629c1065233_f104d110-578f-454b-9cc5-a8725a72c8af#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor28094f61-ebe0-4d72-9a68-8629c1065233_f104d110-578f-454b-9cc5-a8725a72c8af##anotherDeva925171e-6b98-46ec-b744-19e75b06d37e_dea00990-722e-4527-bf97-16304057cf91@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev4ef3494b-b082-4a9a-b612-e7b378aa485a_b71feece-04d8-47fe-bf44-db0b8a92e4b1@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xord1f7df38-005b-4143-955e-1c9f09c60161_7235a52f-a0c7-40ea-a98c-d0da27ee8adc#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xord1f7df38-005b-4143-955e-1c9f09c60161_7235a52f-a0c7-40ea-a98c-d0da27ee8adc##anotherDev4ef3494b-b082-4a9a-b612-e7b378aa485a_b71feece-04d8-47fe-bf44-db0b8a92e4b1@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDev5d6b8a8b-685b-47e5-a24e-57f79baabb64_8fc0e63c-3ebf-486a-8390-2904429306a2@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor681eee30-dcec-49f5-9eee-10a3554f086b_d90dd639-2b00-44fc-9a8e-73c0a400a40c#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor681eee30-dcec-49f5-9eee-10a3554f086b_d90dd639-2b00-44fc-9a8e-73c0a400a40c##anotherDev5d6b8a8b-685b-47e5-a24e-57f79baabb64_8fc0e63c-3ebf-486a-8390-2904429306a2@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,anotherDeve32e780e-a865-449a-8172-3ea28a7298e6_f7ec4c3b-18c7-4608-a7be-9b854dca53f2@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor7a3148c1-aa57-4d67-823a-eca8214dfe57_b7304ae4-87fd-4630-80e1-af7b52f1e23b#bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6,xor7a3148c1-aa57-4d67-823a-eca8214dfe57_b7304ae4-87fd-4630-80e1-af7b52f1e23b##anotherDeve32e780e-a865-449a-8172-3ea28a7298e6_f7ec4c3b-18c7-4608-a7be-9b854dca53f2@bulb_9fce4eb1-ce3c-460e-b003-29c5d7041d74_7256fcf4-3f18-4ac0-a3f0-4396518117e6
